Year,Petrol Price (£/litre),Weekly Food Expenditure (£),Average Monthly Rent (England) (£)
2000,0.80,44,237.8
2001,0.76,45,246.6
2002,0.74,46,253.1
2003,0.76,48,256.7
2004,0.80,50,262.6
2005,0.87,52,272.2
2006,0.91,53,280.6
2007,0.94,55,289.8
2008,1.07,60,616
2009,1.00,58,561
2010,1.17,59,605
2011,1.33,57,653
2012,1.36,57,661
2013,1.34,57,692
2014,1.28,57,720
2015,1.11,58,744
2016,1.09,59,759
2017,1.18,60,754
2018,1.25,61,759
2019,1.25,62,747
2020,1.14,63,821
2021,1.31,64,874
2022,1.65,66,1013
2023,1.48,63,1258
